iter	Passed	Remaining
0	2	1088
1	4	1178
2	8	1387
3	14	1832
4	19	1895
5	21	1771
6	23	1678
7	25	1590
8	28	1562
9	31	1531
10	33	1491
11	36	1473
12	38	1454
13	41	1428
14	43	1417
15	46	1403
16	49	1400
17	52	1410
18	56	1431
19	61	1472
20	64	1478
21	69	1504
22	72	1509
23	75	1502
24	78	1487
25	80	1471
26	83	1462
27	87	1470
28	90	1462
29	93	1464
30	96	1462
31	99	1461
32	102	1457
33	105	1451
34	108	1447
35	111	1441
36	114	1433
37	117	1424
38	120	1422
39	124	1428
40	129	1452
41	138	1509
42	144	1539
43	148	1541
44	153	1556
45	156	1548
46	161	1559
47	164	1552
48	168	1554
49	172	1551
50	175	1546
51	179	1542
52	181	1531
53	183	1519
54	186	1507
55	188	1493
56	190	1480
57	192	1467
58	194	1453
59	196	1441
60	198	1430
61	200	1416
62	202	1406
63	204	1393
64	206	1379
65	207	1367
66	209	1356
67	211	1345
68	213	1334
69	215	1323
70	217	1312
71	219	1303
72	221	1293
73	222	1282
74	224	1272
75	226	1263
76	228	1254
77	230	1245
78	232	1237
79	234	1228
80	236	1220
81	237	1211
82	239	1203
83	241	1195
84	243	1189
85	245	1180
86	246	1172
87	249	1166
88	250	1159
89	252	1151
90	254	1144
91	256	1137
92	258	1131
93	260	1127
94	262	1120
95	265	1115
96	267	1110
97	269	1104
98	270	1097
99	273	1092
100	274	1086
101	276	1080
102	278	1074
103	280	1067
104	282	1061
105	283	1055
106	286	1050
107	287	1045
108	290	1040
109	291	1034
110	293	1028
111	295	1022
112	297	1017
113	298	1012
114	300	1007
115	302	1001
116	304	996
117	306	991
118	307	986
119	310	982
120	311	977
121	314	972
122	315	968
123	317	963
124	319	959
125	321	954
126	323	950
127	325	945
128	327	941
129	328	936
130	330	932
131	332	927
132	334	923
133	336	918
134	338	914
135	339	909
136	341	905
137	343	901
138	345	896
139	346	891
140	348	887
141	350	883
142	352	879
143	353	874
144	355	870
145	357	866
146	359	862
147	361	859
148	363	856
149	365	852
150	367	848
151	369	845
152	371	841
153	373	838
154	375	835
155	377	831
156	379	828
157	380	824
158	382	821
159	384	818
160	386	814
161	388	810
162	390	807
163	392	804
164	394	800
165	396	797
166	398	793
167	400	790
168	402	787
169	403	783
170	405	780
171	407	776
172	409	773
173	411	770
